hyperparams,start_date,train_val_ratio,metric,t_statistic,p_value,significant,cohens_d,mlp_mean,mlp_iqr,mlp_q1,mlp_q3,tft_mean,tft_iqr,tft_q1,tft_q3
1,4,90,max_drawdown,-0.2541,8.0083e-01,False,-0.0803,0.0618,0.0194,0.0501,0.0696,0.0632,0.0234,0.0534,0.0768
1,4,95,max_drawdown,2.0444,4.9178e-02,False,0.6465,0.0627,0.0338,0.0436,0.0774,0.0496,0.0179,0.0385,0.0564
2,1,85,max_drawdown,4.482,1.0533e-04,True,1.4173,0.0595,0.025,0.0456,0.0705,0.0343,0.0142,0.0267,0.0409
2,1,90,max_drawdown,5.1333,2.3160e-05,True,1.6233,0.0559,0.0265,0.0433,0.0698,0.0314,0.0117,0.0249,0.0366
2,1,95,max_drawdown,4.456,1.6874e-04,True,1.4091,0.0644,0.0337,0.0454,0.0791,0.0349,0.0192,0.0275,0.0467
2,2,85,max_drawdown,3.7875,7.2195e-04,True,1.1977,0.0622,0.0287,0.0437,0.0724,0.0382,0.0199,0.0293,0.0492
2,2,90,max_drawdown,3.4473,1.6080e-03,False,1.0901,0.0653,0.0184,0.0537,0.0721,0.0449,0.0172,0.0367,0.0539
2,2,95,max_drawdown,3.3533,2.1806e-03,False,1.0604,0.0734,0.0444,0.0485,0.0929,0.0491,0.0159,0.0411,0.057
2,3,85,max_drawdown,5.6613,4.2720e-06,True,1.7903,0.0624,0.0297,0.0446,0.0742,0.0301,0.0135,0.0215,0.035
2,3,90,max_drawdown,4.5667,5.2319e-05,True,1.4441,0.0563,0.026,0.043,0.069,0.0331,0.0259,0.0205,0.0464
2,3,95,max_drawdown,2.6724,1.1035e-02,False,0.8451,0.0573,0.0213,0.044,0.0653,0.0435,0.0229,0.0317,0.0547
2,4,85,max_drawdown,-1.282,2.0781e-01,False,-0.4054,0.0607,0.0178,0.0463,0.064,0.0689,0.0292,0.053,0.0821
2,4,90,max_drawdown,-1.4991,1.4225e-01,False,-0.4741,0.0561,0.0176,0.0464,0.064,0.0656,0.0264,0.0545,0.0809
2,4,95,max_drawdown,-0.0032,9.9746e-01,False,-0.001,0.0602,0.0181,0.0479,0.066,0.0602,0.0268,0.0474,0.0742
3,1,85,max_drawdown,4.2243,2.4388e-04,True,1.3359,0.057,0.0264,0.042,0.0685,0.0349,0.0124,0.0279,0.0403
3,1,90,max_drawdown,6.1254,2.5694e-06,True,1.937,0.0713,0.0396,0.0474,0.087,0.0345,0.009,0.0286,0.0376
3,1,95,max_drawdown,6.7601,1.8442e-07,True,2.1377,0.0694,0.0365,0.052,0.0884,0.033,0.0128,0.0245,0.0372
3,2,85,max_drawdown,2.6646,1.1932e-02,False,0.8426,0.0628,0.0365,0.0406,0.0771,0.046,0.0231,0.0326,0.0557
3,2,90,max_drawdown,5.4039,4.9935e-06,True,1.7089,0.0732,0.0245,0.0619,0.0864,0.041,0.0236,0.0293,0.053
3,2,95,max_drawdown,2.2883,2.9230e-02,False,0.7236,0.0631,0.0427,0.0423,0.085,0.0476,0.0187,0.038,0.0567
3,3,85,max_drawdown,5.4617,4.0640e-06,True,1.7271,0.0587,0.0271,0.0431,0.0703,0.0281,0.0169,0.0171,0.0339
3,3,90,max_drawdown,5.1001,3.0323e-05,True,1.6128,0.0623,0.0384,0.0438,0.0822,0.0308,0.0132,0.0261,0.0393
3,3,95,max_drawdown,3.3019,2.2888e-03,False,1.0442,0.0643,0.0413,0.041,0.0823,0.0396,0.0222,0.027,0.0491
3,4,85,max_drawdown,-3.0075,4.7072e-03,False,-0.9511,0.0564,0.0266,0.0403,0.0669,0.0736,0.0224,0.0642,0.0866
3,4,90,max_drawdown,-0.9435,3.5141e-01,False,-0.2984,0.0576,0.026,0.0417,0.0676,0.0631,0.0179,0.0569,0.0748
3,4,95,max_drawdown,-0.5475,5.8726e-01,False,-0.1731,0.0584,0.0298,0.0415,0.0712,0.0622,0.0303,0.0446,0.0749
